"","Site","Number","Group","Date","New.Code.Name","Achnanthes alteragracillima","Achnanthes atomus","Achnanthes biasolettiana","Achnanthes catenata","Achnanthes clevei","Achnanthes conspicua","Achnanthes convergens","Achnanthes crassa","Achnanthes daui","Achnanthes delicatula","Achnanthes exigua","Achnanthes exigua var. elliptica","Achnanthes grana","Achnanthes hungarica","Achnanthes japonica","Achnanthes lanceolata","Achnanthes lanceolata ssp. rostrata","Achnanthes lanceolata subsp. frequentissima","Achnanthes laterostrata","Achnanthes linearis","Achnanthes microcephala","Achnanthes minutissima","Achnanthes minutissima var. jackii","Achnanthes minutissima var. saprophila","Achnanthes minutissima var.robust","Achnanthes subatomoides","Achnanthes subhudsonis","Achnanthidium latecephalum","Achnanthidium subatomus","Amphora copulata","Amphora inariensis","Amphora montana","Amphora pediculus","Amphora veneta","Asterionella formosa","Aulacoseira alpigena","Aulacoseira ambigua","Aulacoseira granulata","Aulacoseira islandica","Aulacoseira muzzanensis","Aulacoseira subarctica","Aulacoseira valida","Bacillaria paradoxa","Caloneis bacillum","Caloneis silicula","Caloneis tenuis","Cocconeis neodiminuta","Cocconeis pediculus","Cocconeis peltoides","Cocconeis placentula","Cocconeis placentula var. euglypta","Cocconeis placentula var. lineata","Cyclostephanos dubius","Cyclostephanos invisitatus","Cyclotella asterocostata","Cyclotella atomus","Cyclotella lacunarum","Cyclotella meneghiniana","Cyclotella pseudostelligera","Cyclotella radiosa","Cyclotella stelligera","Cymatopleura solea","Cymbella affinis","Cymbella brehmii","Cymbella delicatula","Cymbella gracile","Cymbella hustedtii","Cymbella lacustris","Cymbella lanceolata","Cymbella mesiana","Cymbella minuta","Cymbella neocistula","Cymbella reinhardtii","Cymbella silesiaca","Cymbella thienemanii","Cymbella tumida","Cymbella turgidula","Cymbella turgidula var. nipponica","Denticula tenuis","Diatoma moniliformis","Diatoma vulgaris","Diploneis elliptica","Diploneis pseudovalis","Diploneis subovalis","Encyonema caespitosum","Encyonema lange-bertalotii","Encyonema ventricosum","Encyonopsis microcephala","Epithemia adnata","Fragilaria capitellata","Fragilaria capucina","Fragilaria capucina var. gracilis","Fragilaria capucina var. mesolepta","Fragilaria capucina var. rumpens","Fragilaria capucina var. vaucheriae","Fragilaria construens","Fragilaria construens f. binodis","Fragilaria construens f. venter","Fragilaria crotonensis","Fragilaria delicatissima","Fragilaria elliptica","Fragilaria famelica","Fragilaria fasciculata","Fragilaria pinnata","Fragilaria pulchella","Fragilaria radians","Fragilaria ulna","Fragilaria virescens","Gomphonema acuminatum","Gomphonema angustatum","Gomphonema clevei","Gomphonema gracile","Gomphonema lagenula","Gomphonema minutum","Gomphonema olivaceum","Gomphonema parvulum","Gomphonema pseudoaugur","Gomphonema pseudosphaerophorum","Gyrosigma procerum","Gyrosigma scalproides","Hantzschia amphioxys","Hippodonta hungarica","Lindavia praetermissa","Melosira undulata","Melosira varians","Meridion circulare","Navicula acceptata","Navicula accomoda","Navicula amphiceropsis","Navicula angusta","Navicula atomus","Navicula bacillum","Navicula bryophila","Navicula capitata","Navicula capitatoradiata","Navicula cincta","Navicula clementis","Navicula confervacea","Navicula contenta","Navicula cryptocephala","Navicula cryptotenella","Navicula decussis","Navicula dismutica","Navicula elginensis","Navicula germainii","Navicula goeppertiana","Navicula gregaria","Navicula hintzii","Navicula hustedtii","Navicula lanceolata","Navicula laterostrata","Navicula minima","Navicula minuscula","Navicula mutica","Navicula notha","Navicula oppugnata","Navicula perminuta","Navicula protracta","Navicula pseudoanglica","Navicula pseudolanceolata","Navicula pseudoventralis","Navicula pupula","Navicula radiosa","Navicula radiosafallax","Navicula recens","Navicula rhynchocephala","Navicula salinarum","Navicula saprophila","Navicula schroeteri","Navicula seibigiana","Navicula seminuloides","Navicula seminulum","Navicula stroemii","Navicula subminuscula","Navicula suprinii","Navicula symmetrica","Navicula tenera","Navicula tripunctata","Navicula trivialis","Navicula veneta","Navicula ventralis","Navicula viridula","Navicula viridula var. linearis","Navicula viridula var. rostellata","Navicula yuraensis","Navicula zanoni","Nitzschia acicularis","Nitzschia amphibia","Nitzschia bacillum","Nitzschia bryophila","Nitzschia capitellata","Nitzschia clausii","Nitzschia denticula","Nitzschia dissipata","Nitzschia filiformis","Nitzschia fonticola","Nitzschia frustulum","Nitzschia frustulum var. perminuta","Nitzschia gracilis","Nitzschia hantzschiana","Nitzschia homburgiensis","Nitzschia hungarica","Nitzschia inconspicua","Nitzschia intermedia","Nitzschia liebetruthii","Nitzschia linearis","Nitzschia nana","Nitzschia palea","Nitzschia paleacea","Nitzschia perminuta","Nitzschia recta","Nitzschia sinuata var. delongei","Nitzschia sinuata var. tabellaria","Nitzschia subacicularis","Nitzschia sublinearis","Nitzschia tryblionella var. salinarum","Pinnularia acrosphaeria","Pinnularia microstauron","Pinnularia viridis","Pseudostaurosira brevistriata","Punctastriata linearis","Reimeria sinuata","Rhoicosphenia abbreviata","Stauroneis montana","Stephanodiscus hantzschii","Stephanodiscus minutulus","Surirella angusta","Surirella minuta","Synedra acus","Synedra amphicephala","Synedra rumpens var. fragilarioides","Synedra tenera","Synedra ulna var. oxyrhynchus","Thalassiosira bramaputrae","Thalassiosira weissflogii"
"1","A1",1,"A","21/12/2018","M3",0,0,0.256739409499358,0,0,0,4.8780487804878,0,0,0,0,0,0,0,1.66880616174583,0.898587933247754,0.256739409499358,1.79717586649551,0.128369704749679,0,0,7.57381258023107,1.66880616174583,6.67522464698331,2.31065468549422,0,2.69576379974326,2.56739409499358,0.256739409499358,0,0,0,1.79717586649551,0,0.513478818998716,0.898587933247754,0.898587933247754,0.513478818998716,0,0,0,0,0,0,0,0,0,0.513478818998716,0,1.02695763799743,2.4390243902439,2.05391527599487,0,0.256739409499358,0,0.256739409499358,0,0.385109114249037,0,0,1.02695763799743,0,0.898587933247754,0,0,0,0,0,0,0,1.66880616174583,0,0,0.128369704749679,0,0,2.82413350449294,0,0,0,1.66880616174583,0,0,0,0,0,1.66880616174583,0,0,0,0.641848523748395,0.385109114249037,0.128369704749679,0.256739409499358,0,0,0.256739409499358,2.82413350449294,7.06033376123235,0,0,0.256739409499358,0.385109114249037,0.385109114249037,0,0.128369704749679,0.513478818998716,0,0,0,0,0,0.256739409499358,0.128369704749679,3.46598202824133,0.513478818998716,0,0,0,0,0,0,0,0,1.28369704749679,0,0,0,0,0.256739409499358,0,0,0,0,0.128369704749679,1.54043645699615,0,0,0,0.385109114249037,1.02695763799743,0.128369704749679,0,0,0,0,2.31065468549422,0,0,0,0,0.256739409499358,0,0,0.513478818998716,0,0,0,0,0,0,0.513478818998716,0.256739409499358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385109114249037,0,0,1.28369704749679,0,0.128369704749679,0,1.54043645699615,0,0,0,0,0,0,0,0,0,1.15532734274711,0,1.79717586649551,0,0,0,0,0,0,1.28369704749679,0,0,0.128369704749679,0,0.770218228498075,1.41206675224647,0,0,0,0,0,0,0,0,0,0,0.513478818998716,0.256739409499358,1.79717586649551,0,0,1.41206675224647,0,0.256739409499358,0,0.128369704749679,0,0,4.36456996148909,0,0,0.128369704749679
"2","A2",2,"A","21/12/2018","M3",0,0,0.333333333333333,0,0.666666666666667,0,3.83333333333333,0,0,0,0.166666666666667,0,0,0,0.833333333333333,0.666666666666667,0.333333333333333,0.166666666666667,0,0,0,6.16666666666667,0.833333333333333,4.5,1.83333333333333,0,1.83333333333333,4.5,1.16666666666667,0.166666666666667,0,0,4,0,0,0.666666666666667,0.833333333333333,1.16666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0.5,1,1,0,0,0,0,0,0.666666666666667,0,0,1.33333333333333,0.166666666666667,2.66666666666667,0,0,0,0,0,0,0,0.5,0,0,0.166666666666667,0,0.166666666666667,7.66666666666667,0,0,0,4.16666666666667,0,0,0,0,0,1.16666666666667,0,0,0,0.5,0,0,0.5,0,0,0,3,6.83333333333333,0,0,0,0.333333333333333,0,0.166666666666667,0,0.5,0.5,0,0,0,0,0,0,2.66666666666667,0.166666666666667,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0.166666666666667,2.83333333333333,0,0,0,0.166666666666667,2.16666666666667,0,0,0,0,0,3.83333333333333,0,0,0,0.166666666666667,0.666666666666667,0,0,0.5,0.166666666666667,0,0,0,0,0,1.33333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.16666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,2.16666666666667,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0.5,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0.833333333333333,0,0,0.166666666666667,0.166666666666667,0,0,4.33333333333333,0,0,0
"3","A3",3,"A","21/12/2018","M3",0,0,0,0,0.541516245487365,0,1.62454873646209,0,0,0,0.180505415162455,0,0,0,0.902527075812274,1.985559566787,0.72202166064982,2.34657039711191,0,0,0,3.06859205776173,0.180505415162455,0.902527075812274,1.44404332129964,0,0.541516245487365,2.34657039711191,0.180505415162455,0,0,0,7.5812274368231,0,0.180505415162455,0.36101083032491,2.16606498194946,0.902527075812274,0,0,0,0,0,0,0,0,0,0.180505415162455,0,2.16606498194946,5.05415162454874,1.80505415162455,0,1.44404332129964,0,0.36101083032491,0.180505415162455,0.36101083032491,0.180505415162455,0,3.24909747292419,0,0.36101083032491,0,0,0,0,0,0,0,0.541516245487365,0,0,0.541516245487365,0,0.180505415162455,3.24909747292419,0,0,0,3.24909747292419,0,0.36101083032491,0,0.180505415162455,0,0.541516245487365,0,0,0,0.180505415162455,0,0,0,0.180505415162455,0.72202166064982,0.72202166064982,2.16606498194946,6.85920577617329,0,1.26353790613718,0,0.902527075812274,0.541516245487365,0,0.180505415162455,0.36101083032491,0,0,0,0,0.180505415162455,0.180505415162455,0,2.70758122743682,0.36101083032491,0,0,0,0,0,0,0,0,1.985559566787,0,0,0,0.180505415162455,0.180505415162455,0,0,0,0,0,0.541516245487365,0,0,0,0.541516245487365,1.44404332129964,0,0,0,0,0,4.51263537906137,0,0,0,0.180505415162455,0.541516245487365,0.180505415162455,0,0.180505415162455,0,0.180505415162455,0,0,0,0,0.36101083032491,0,0,0.180505415162455,0,0,0,0,0,0,0,0,0.180505415162455,0,0,0,0,0,0.902527075812274,0,0,0,1.26353790613718,0,0,0,0.36101083032491,0,0,0,0,0,0.36101083032491,0,3.79061371841155,0.180505415162455,0,0.180505415162455,0,0,0,0.36101083032491,0.180505415162455,0,0,0,0.902527075812274,1.08303249097473,0,0,0,0.36101083032491,0,0,0,0,0,0,0,0.72202166064982,1.26353790613718,0,0,0.902527075812274,0,0,0,0,0.180505415162455,0.180505415162455,5.41516245487365,0,0.180505415162455,0
"4","A4",4,"A","21/12/2018","M3",0,0,0.144300144300144,0,0.288600288600289,0.144300144300144,5.77200577200577,0,0,0,0,0,0,0,1.44300144300144,1.01010101010101,0.865800865800866,1.44300144300144,0.144300144300144,0,0,5.77200577200577,2.16450216450216,4.47330447330447,2.30880230880231,0,1.44300144300144,5.05050505050505,0.721500721500722,0,0,0,8.8023088023088,0,0,0,0.577200577200577,0.577200577200577,0,0,0,0,0,0,0,0,0,0.577200577200577,0,0.577200577200577,1.87590187590188,0.577200577200577,0,0,0,0.288600288600289,0,0.721500721500722,1.15440115440115,0,1.15440115440115,0,0.288600288600289,0,0,0,0,0,0,0,0.432900432900433,0,0,0,0,0.432900432900433,4.04040404040404,0,0,0,2.16450216450216,0,0,0,0,0,0.432900432900433,0,0,0,0.144300144300144,0,0,0,0.144300144300144,0,0.432900432900433,1.87590187590188,3.17460317460317,0,1.87590187590188,0.144300144300144,0.144300144300144,0.577200577200577,0,0,0.432900432900433,0.144300144300144,0.144300144300144,0,0.288600288600289,0,0.288600288600289,0.144300144300144,2.5974025974026,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0.432900432900433,0.288600288600289,0.144300144300144,0,0,0,0,1.15440115440115,0,0,0,0,3.75180375180375,0,0,0,0,0,5.05050505050505,0,0,0,0.288600288600289,0.144300144300144,0,0,0,0,0,0,0,0,0,0.721500721500722,0,0,0,0,0,0,0,0,0.288600288600289,0.144300144300144,0,0.144300144300144,0,0,0,0,0,1.15440115440115,0,0,0,1.44300144300144,0.144300144300144,0,0.288600288600289,0,0,0,0,0,0,0.577200577200577,0,3.8961038961039,0,0,0,0,0,0,0.865800865800866,0,0,0,0,0.288600288600289,1.15440115440115,0,0,0,0,0,0,0,0,0,0,0,0.577200577200577,0.721500721500722,0,0,0.432900432900433,0,0,0.144300144300144,0,0,0,3.75180375180375,0,0,0
"5","A5",5,"A","21/12/2018","M3",0.136425648021828,0,0.136425648021828,0,0.272851296043656,0.136425648021828,4.77489768076398,0,0,0,0,0,0,0,1.22783083219645,0.818553888130969,0.545702592087312,0.954979536152797,0,0,0,6.00272851296044,1.22783083219645,3.13778990450205,1.22783083219645,0,0.409276944065484,5.59345156889495,0.409276944065484,0,0.136425648021828,0,8.18553888130969,0,0.409276944065484,0,1.09140518417462,1.09140518417462,0,0,0,0,0,0,0,0,0,1.50068212824011,0,0.409276944065484,6.00272851296044,0.818553888130969,0,0,0,0,0,0.545702592087312,0.545702592087312,0,0.682128240109141,0,0.272851296043656,0,0,0,0,0,0,0,0.409276944065484,0,0,0,0.409276944065484,0.272851296043656,4.63847203274215,0,0,0,5.59345156889495,0,0,0,0,0,1.36425648021828,0.136425648021828,0,0,0.272851296043656,0,0,0,0.272851296043656,0,0.818553888130969,0.272851296043656,2.45566166439291,0,1.77353342428377,0.136425648021828,0.409276944065484,0.409276944065484,0.136425648021828,0,0.682128240109141,0.136425648021828,0,0.136425648021828,0,0,0.954979536152797,0.954979536152797,2.18281036834925,0.272851296043656,0,0,0,0,0,0,0,0,2.31923601637108,0,0,0.136425648021828,0.409276944065484,0,0.136425648021828,0,0,0,0.136425648021828,0.409276944065484,0,0,0,0.136425648021828,3.13778990450205,0.136425648021828,0,0,0,0,5.45702592087312,0,0.272851296043656,0,0.409276944065484,0,0,0,0.272851296043656,0,0.136425648021828,0,0,0,0,0.409276944065484,0,0.136425648021828,0,0,0,0.136425648021828,0,0,0,0,0,0,0,0,0,0,0,0.818553888130969,0,0,0.136425648021828,1.36425648021828,0,0,0,0,0,0,0,0,0,0,0,2.18281036834925,0,0,0,0,0,0,1.09140518417462,0.409276944065484,0.272851296043656,0,0,0.272851296043656,0.682128240109141,0,0,0.136425648021828,0.409276944065484,0,0,0,0,0.136425648021828,0,0.136425648021828,0.409276944065484,0.545702592087312,0,0,0.545702592087312,0.136425648021828,0,0,0,0,0,2.31923601637108,0,0,0
"6","B1",1,"B","22/12/2018","M10",0,0,0,0,0.196850393700787,0,0,0,0,0.196850393700787,19.2913385826772,0.984251968503937,0,0,0,0.78740157480315,0,1.18110236220472,0,0,0,0,0.196850393700787,0,0,0,0.196850393700787,0,0,0.196850393700787,3.74015748031496,0,0.393700787401575,0,1.18110236220472,3.34645669291339,3.54330708661417,0.590551181102362,0,0,0,0,0.196850393700787,0.393700787401575,0,0,0,0,0,0.196850393700787,0.590551181102362,0,0,0,0,0,0,1.5748031496063,0.196850393700787,0,0.393700787401575,0,0,0,0,0,0,0,0,0,0.393700787401575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196850393700787,0,0,0,0,0,0,0,0.196850393700787,0.196850393700787,5.51181102362205,0,0,0,0,0.196850393700787,0.196850393700787,0,0,0,0,0,0,0,0,0.196850393700787,0,0,0.196850393700787,0,0,0,0,0,1.18110236220472,0,0,0,3.74015748031496,0,0,0.196850393700787,0,0,0.196850393700787,0,0,0,0,0.393700787401575,0,0.196850393700787,0,0,0,0.196850393700787,1.18110236220472,0,0,0,0,8.66141732283465,0,0,0,0,0.196850393700787,0,0,0.196850393700787,0,0,0,0,0,0,0,0,0,0.196850393700787,0.393700787401575,19.8818897637795,0,0.196850393700787,0,0,0,0,0.984251968503937,0.590551181102362,0,0,0,0.196850393700787,0,0,0,1.5748031496063,0,0,0,0.196850393700787,0,0.196850393700787,0.590551181102362,0.78740157480315,0,0.393700787401575,0,0,0,0,2.16535433070866,0,0,0,0,0.78740157480315,0,0,0,0,0,0,0,0.196850393700787,0,0,0,0,0,0,0,0,6.2992125984252,0,0,0,0,0,0,1.18110236220472,0,0,0
"7","B2",2,"B","22/12/2018","M10",0,0.150602409638554,0,0,0,0,0,0,0,0.150602409638554,1.05421686746988,0.150602409638554,0,0,0,0.451807228915663,0.301204819277108,0.451807228915663,0,0,0,0.451807228915663,0,0.150602409638554,0,0,0,0,0,0.301204819277108,1.20481927710843,0,0.753012048192771,0,1.20481927710843,2.56024096385542,2.56024096385542,0.602409638554217,0,0,0,0,0.903614457831325,1.50602409638554,0.150602409638554,0,0,0,0,0,0.602409638554217,0,0,0.602409638554217,0,0,0,1.05421686746988,0.451807228915663,0,0.602409638554217,0,0,0,0,0,0,0,0,0,0.301204819277108,0,0,0,0,0.150602409638554,0,0,0,0,0.451807228915663,0,0,0,0,0,0.150602409638554,0,0,0,2.10843373493976,0.753012048192771,0.150602409638554,0,2.25903614457831,0.451807228915663,0,1.35542168674699,1.35542168674699,0,9.33734939759036,0,0,0,0,0.301204819277108,0.602409638554217,0,0,0,0,0,0.451807228915663,0,0,0,0,0,0,0,0.150602409638554,0.301204819277108,0,0,1.9578313253012,0,0,0,3.46385542168675,0.301204819277108,0.301204819277108,0,0,0.301204819277108,0.903614457831325,0.903614457831325,0,0.150602409638554,0,0.150602409638554,0.903614457831325,0.150602409638554,0,0,0,0.301204819277108,3.31325301204819,0.301204819277108,0.451807228915663,0.150602409638554,0.150602409638554,6.92771084337349,0,0,0,0,0,0,0,2.25903614457831,0,0.301204819277108,0,0.150602409638554,0,0,0.451807228915663,0,0.301204819277108,0,0.602409638554217,12.9518072289157,0,0.301204819277108,2.10843373493976,0,0,0,2.86144578313253,0.753012048192771,0,0,0,0.451807228915663,0,0,0,3.01204819277108,0,0,0,0.301204819277108,0,0,0.150602409638554,0.753012048192771,0,0.150602409638554,0,0,0.150602409638554,0,3.16265060240964,0,0,0,0,0.753012048192771,0.451807228915663,0,0,0,0,0.150602409638554,0,0.150602409638554,0,0,0,0,0.150602409638554,0.150602409638554,0,0,5.87349397590361,0.150602409638554,0,0.301204819277108,0,0.301204819277108,0.301204819277108,0,0,0,0
"8","B3",3,"B","22/12/2018","M10",0,0,0,0,0.522648083623693,0.696864111498258,0,0,0,0.522648083623693,17.4216027874564,0.348432055749129,0,0,0.174216027874564,1.04529616724739,0.348432055749129,0.348432055749129,0,0,0,0.174216027874564,0,0.174216027874564,0,0,0,0,0,0,2.61324041811847,0,1.91637630662021,0,0.348432055749129,1.91637630662021,0.522648083623693,0.522648083623693,0,1.04529616724739,0,0,0.348432055749129,1.56794425087108,0,0,0,0,0,0,0.348432055749129,0,0.174216027874564,0.174216027874564,0,0,0,0.348432055749129,0.696864111498258,0,0.696864111498258,0,0,0,0,0,0,0,0,0,0.522648083623693,0,0,0,0,0,0.174216027874564,0,0,0,0.348432055749129,0,0,0,0,0,0,0,0,0,0.174216027874564,0.174216027874564,0,0,1.91637630662021,0,0.174216027874564,0,0.871080139372822,0,6.27177700348432,0,0,0,0,1.04529616724739,0.522648083623693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871080139372822,0,0,0,3.48432055749129,0,0.348432055749129,0,0,0.174216027874564,0,0.696864111498258,0,0.522648083623693,0,0.174216027874564,0.522648083623693,0,0,0,0,0.174216027874564,2.4390243902439,0,0,0,0.348432055749129,10.9756097560976,0,0,0,0,0,0,0,1.21951219512195,0,0.174216027874564,0,0.174216027874564,0,0,0.174216027874564,0,0,0,0.348432055749129,10.9756097560976,0,0,3.13588850174216,0,0,0,1.56794425087108,0.522648083623693,0,0,0,0.522648083623693,0,0,0,2.9616724738676,0,0,0,0,0,0,0.174216027874564,0.174216027874564,0,0,0,0,0.174216027874564,0,4.52961672473868,0,0,0,0,0.174216027874564,0,0,0,0,0,0,0.174216027874564,0.348432055749129,0,0,0,0,0,0,0,0,2.78745644599303,0,0,0.174216027874564,0.174216027874564,0,1.39372822299652,0,0,0,0
"9","B4",4,"B","22/12/2018","M10",0,0.144092219020173,0,0,0,0.144092219020173,0,0,0.288184438040346,0.720461095100865,3.45821325648415,0.288184438040346,0,0.144092219020173,0,1.44092219020173,0,1.5850144092219,0,0,0,1.15273775216138,0.288184438040346,0.288184438040346,0,0,0,0,0,0,1.72910662824208,0,1.00864553314121,0,1.00864553314121,1.29682997118156,1.44092219020173,1.00864553314121,0,0,0,0,0.576368876080692,0.144092219020173,0,0,0,0.288184438040346,0,1.00864553314121,2.16138328530259,0,0,1.29682997118156,0,0,0,0,0.576368876080692,0,0.288184438040346,0,0,0,0,0,0,0,0,0,0.576368876080692,0,0,0,0,0,0,0,0,0.144092219020173,0,0,0,0,0,0,0.144092219020173,0,0,0,0.288184438040346,0,0,0,0,0,0.288184438040346,0.144092219020173,0.288184438040346,0.144092219020173,6.77233429394813,0,0,0.144092219020173,0,0,0,0,0,0.144092219020173,0,0,0.288184438040346,0,0,0,0,0,0.144092219020173,0,0.144092219020173,0.144092219020173,0,0,0.288184438040346,0,0,0,2.59365994236311,0,0,0,0,0.144092219020173,0.288184438040346,0.144092219020173,0,0.288184438040346,0,0,0,0.720461095100865,0,0,0,0,2.59365994236311,0.144092219020173,0,0,0.864553314121038,6.19596541786744,0,0,0,0,0,0,0,1.44092219020173,0,0.288184438040346,0,0.288184438040346,0,0,0.144092219020173,0,0.288184438040346,0,0.288184438040346,5.76368876080692,0,0.144092219020173,0.288184438040346,0,0,0,0.720461095100865,0.864553314121038,0,0,0,0.288184438040346,0,0,0,8.5014409221902,0,0,0.144092219020173,0.144092219020173,0,0,0.432276657060519,5.47550432276657,0,0.432276657060519,0,0,0,0,20.8933717579251,0,0.144092219020173,0,0,0.720461095100865,0.576368876080692,0,0,0,0,0,0,0.144092219020173,0,0,0,0,0,0,0,0,3.31412103746398,0,0,0.144092219020173,0,0,0,0.288184438040346,0,0,0
"10","B5",5,"B","22/12/2018","M10",0,0,0,0,1.7921146953405,0.836320191158901,0,0,0.2389486260454,1.9115890083632,24.8506571087216,0.836320191158901,0,0,0,6.81003584229391,0.2389486260454,3.3452807646356,0,0,0,0.3584229390681,0,0.2389486260454,0,0,0.1194743130227,0,0,0,2.2700119474313,0,2.5089605734767,0,0.716845878136201,0,0.3584229390681,0.1194743130227,0,0.3584229390681,0,0,0.3584229390681,0.3584229390681,0,0,0,0,0,0,0.2389486260454,0,0,0.4778972520908,0,0,0,0.1194743130227,0,0,0.1194743130227,0,0,0,0,0,0,0,0,0,0.2389486260454,0,0,0,0,0,0.1194743130227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1194743130227,0.3584229390681,0,0.2389486260454,0,0.1194743130227,0,2.8673835125448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1194743130227,0,0,0,0,0.1194743130227,0,0,0,0,0,0,2.7479091995221,0,0.1194743130227,0,0,0,0.1194743130227,0,0,0,0,0,0.2389486260454,0,0,0,0,0,2.6284348864994,0,0,0,0.2389486260454,13.7395459976105,0,0,0,0,0.2389486260454,0,0,1.0752688172043,0,0,0,0.1194743130227,0,0,0,0,0,0,0.836320191158901,12.5448028673835,0,0.2389486260454,0,0,0,0,0.597371565113501,0.2389486260454,0,0,0,0.1194743130227,0,0,0,1.6726403823178,0,0,0,0,0,0,0,1.0752688172043,0,0.1194743130227,0,0,0.1194743130227,0,3.2258064516129,0.2389486260454,0,0,0,0.2389486260454,0.3584229390681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6284348864994,0,0,0,0,0,0.2389486260454,0.3584229390681,0,0,0
