Com_Sp_lst,Species,Syn,M1a,M2a,M3a,M4a,M5a,M6a,M7a,M8a,M9a,M10a,M11a,M12a,M13a,T1a,T2a,T3a,T4a,T5a,T6a,T7a,T8a,T9a,T10a,T11a,T12a,T13a,T14a,T15a,T16a,T17a,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,M9b,M10b,M11b,M12b,M13b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,T9b,T10b,T11b,T12b,T13b,T14b,T15b,T16b,T17b
Achnanthes alteragracillima,Achnanthes alteragracillima,Achnanthidium alteragraciliium,2,,,2,,,,1,,,,,,9,,6,2,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,7,,13,13,,3,1,,,,,1,,,,1,2
Achnanthes atomus,Achnanthidium atomus,Achnanthes atomus,,,5,,,,,2,,,,,,,,,,,,,1,,,,2,,,2,,1,,20,29,,,,2,2,,,,1,,,,3,,,1,,,,,,,1,,,,
Achnanthes biasolettiana,Achnanthes biasolettiana,NA,,1,,,,1,1,,,,,,,3,,6,3,,,,,,,,,,,,1,,,1,4,1,1,,,,,,,,,17,,,2,,,2,,,,,,,,,,
Achnanthes catenata,NA,NA,,,,4,4,,,,,,1,,,2,,4,,,,9,,,,,,,1,2,,1,1,,,2,1,,,,,,,,,4,,3,4,,,5,,,,,,,1,,2,2
Achnanthes clevei,Achnanthes clevei,Karayevia clevei,,1,2,,1,,1,,4,,1,,,15,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,
Achnanthes conspicua,Achnanthes conspicua,NA,,,,,1,,1,,1,,,1,,3,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,,2,,,,,,,,,,,1,,,,,
Achnanthes convergens,Achnanthes convergens,NA,1,47,73,4,1,,,,,,,,,7,,42,49,,49,,1,,,,4,2,1,,2,1,,163,77,,,,,1,,,1,,,21,1,107,71,2,84,2,,,,,7,49,3,,1,
Achnanthes crassa,Achnanthes crassa,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes daui,Achnanthes daui,NA,1,,1,3,3,,1,,7,1,,,,1,,,,,,,,,2,6,1,,,1,,,,1,,,,,1,4,2,,,,,2,,,,,,,,,2,6,,,,,,
Achnanthes delicatula,Achnanthes delicatula,Achnanthes septentrionalis,,,,,1,,,,2,,1,1,,,,,,,,,1,8,23,5,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,4,3,16,15,1,,,,,
