Num,Year,Half.Of.Year,Bio.Code,Bio.Code.Name,Species,Korean Species,Density
??,????,????,??????,????,??,???,????
1,2009,1,2001G090,B???6,Achnanthes convergens,????,1208500
2,2009,1,2001G090,B???6,Achnanthes laevis,????,2306
3,2009,1,2001G090,B???6,Achnanthes lanceolata,????,2306
4,2009,1,2001G090,B???6,Achnanthes laterostrata,????,2306
5,2009,1,2001G090,B???6,Achnanthes minutissima,????,269837
6,2009,1,2001G090,B???6,Amphora pediculus,????,2306
7,2009,1,2001G090,B???6,Aulacoseira ambigua,????,2306
8,2009,1,2001G090,B???6,Caloneis silicula,????,2306
9,2009,1,2001G090,B???6,Cyclotella meneghiniana,????,2306
10,2009,1,2001G090,B???6,Cyclotella radiosa,????,2306
11,2009,1,2001G090,B???6,Cyclotella stelligera,????,2306
12,2009,1,2001G090,B???6,Cymbella aspera,????,2306
13,2009,1,2001G090,B???6,Cymbella delicatula,????,2306
14,2009,1,2001G090,B???6,Cymbella elginensis,????,2306
15,2009,1,2001G090,B???6,Cymbella lacustris,????,2306
16,2009,1,2001G090,B???6,Cymbella leptoceros,????,2306
17,2009,1,2001G090,B???6,Cymbella silesiaca,????,2306
18,2009,1,2001G090,B???6,Diatoma vulgaris,???,2306
19,2009,1,2001G090,B???6,Diploneis oblongella,????,2306
20,2009,1,2001G090,B???6,Diploneis subovalis,????,2306
21,2009,1,2001G090,B???6,Fragilaria capucina,????,4613
22,2009,1,2001G090,B???6,Fragilaria capucina var. vaucheriae,????,2306
23,2009,1,2001G090,B???6,Fragilaria crotonensis,????,2306
24,2009,1,2001G090,B???6,Fragilaria fasciculata,????,2306
25,2009,1,2001G090,B???6,Fragilaria fragilarioides,????,2306
26,2009,1,2001G090,B???6,Fragilaria ulna,????,2306
27,2009,1,2001G090,B???6,Frustulia vulgaris,????,2306
28,2009,1,2001G090,B???6,Gomphonema parvulum,????,2306
29,2009,1,2001G090,B???6,Gomphonema quadripunctatum,????,2306
30,2009,1,2001G090,B???6,Melosira varians,????,2306
31,2009,1,2001G090,B???6,Navicula cincta,????,2306
32,2009,1,2001G090,B???6,Navicula cryptotenella,????,2306
33,2009,1,2001G090,B???6,Navicula gregaria,????,2306
34,2009,1,2001G090,B???6,Nitzschia fonticola,????,4613
35,2009,1,2001G090,B???6,Nitzschia inconspicua,????,2306
36,2009,1,2001G090,B???6,Reimeria sinuata,?????,2306
37,2009,1,2002G098,B???7,Achnanthes clevei,????,757
38,2009,1,2002G098,B???7,Achnanthes convergens,????,164330
