Year,Half.Of.Year,Bio.Code,Bio.Code.Name,Species,Density,Percent
2009,1,2001G090,B낙동강6,Achnanthes convergens,1208500,77.4
2009,1,2001G090,B낙동강6,Achnanthes laevis,2306,0.1
2009,1,2001G090,B낙동강6,Achnanthes lanceolata,2306,0.1
2009,1,2001G090,B낙동강6,Achnanthes laterostrata,2306,0.1
2009,1,2001G090,B낙동강6,Achnanthes minutissima,269837,17.3
2009,1,2001G090,B낙동강6,Amphora pediculus,2306,0.1
2009,1,2001G090,B낙동강6,Aulacoseira ambigua,2306,0.1
2009,1,2001G090,B낙동강6,Caloneis silicula,2306,0.1
2009,1,2001G090,B낙동강6,Cyclotella meneghiniana,2306,0.1
2009,1,2001G090,B낙동강6,Cyclotella radiosa,2306,0.1
2009,1,2001G090,B낙동강6,Cyclotella stelligera,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella aspera,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella delicatula,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella elginensis,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella lacustris,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella leptoceros,2306,0.1
2009,1,2001G090,B낙동강6,Cymbella silesiaca,2306,0.1
2009,1,2001G090,B낙동강6,Diatoma vulgaris,2306,0.1
2009,1,2001G090,B낙동강6,Diploneis oblongella,2306,0.1
2009,1,2001G090,B낙동강6,Diploneis subovalis,2306,0.1
2009,1,2001G090,B낙동강6,Fragilaria capucina,4613,0.3
2009,1,2001G090,B낙동강6,Fragilaria capucina var. vaucheriae,2306,0.1
2009,1,2001G090,B낙동강6,Fragilaria crotonensis,2306,0.1
2009,1,2001G090,B낙동강6,Fragilaria fasciculata,2306,0.1
2009,1,2001G090,B낙동강6,Fragilaria fragilarioides,2306,0.1
2009,1,2001G090,B낙동강6,Fragilaria ulna,2306,0.1
2009,1,2001G090,B낙동강6,Frustulia vulgaris,2306,0.1
2009,1,2001G090,B낙동강6,Gomphonema parvulum,2306,0.1
2009,1,2001G090,B낙동강6,Gomphonema quadripunctatum,2306,0.1
2009,1,2001G090,B낙동강6,Melosira varians,2306,0.1
2009,1,2001G090,B낙동강6,Navicula cincta,2306,0.1
2009,1,2001G090,B낙동강6,Navicula cryptotenella,2306,0.1
2009,1,2001G090,B낙동강6,Navicula gregaria,2306,0.1
2009,1,2001G090,B낙동강6,Nitzschia fonticola,4613,0.3
2009,1,2001G090,B낙동강6,Nitzschia inconspicua,2306,0.1
2009,1,2001G090,B낙동강6,Reimeria sinuata,2306,0.1
2009,1,2002G098,B반변천7,Achnanthes clevei,757,0.1
2009,1,2002G098,B반변천7,Achnanthes convergens,164330,16.9
2009,1,2002G098,B반변천7,Achnanthes lanceolata,757,0.1
2009,1,2002G098,B반변천7,Achnanthes lanceolata ssp. robusta,1515,0.2
2009,1,2002G098,B반변천7,Achnanthes laterostrata,757,0.1
2009,1,2002G098,B반변천7,Achnanthes minutissima,711844,73.3
2009,1,2002G098,B반변천7,Achnanthes minutissima var. jackii,757,0.1
2009,1,2002G098,B반변천7,Achnanthes subhudsonis,757,0.1
2009,1,2002G098,B반변천7,Amphora copulata,757,0.1
2009,1,2002G098,B반변천7,Amphora pediculus,10602,1.1
2009,1,2002G098,B반변천7,Caloneis silicula,757,0.1
2009,1,2002G098,B반변천7,Cocconeis pediculus,3029,0.3
2009,1,2002G098,B반변천7,Cocconeis placentula var. euglypta,4544,0.5
2009,1,2002G098,B반변천7,Cocconeis placentula var. lineata,6058,0.6
2009,1,2002G098,B반변천7,Cyclotella meneghiniana,757,0.1
2009,1,2002G098,B반변천7,Cyclotella ocellata,1515,0.2
2009,1,2002G098,B반변천7,Cyclotella pseudostelligera,757,0.1
2009,1,2002G098,B반변천7,Cyclotella radiosa,757,0.1
2009,1,2002G098,B반변천7,Cyclotella stelligera,757,0.1
2009,1,2002G098,B반변천7,Cymbella affinis,757,0.1
2009,1,2002G098,B반변천7,Cymbella delicatula,757,0.1
2009,1,2002G098,B반변천7,Cymbella elginensis,2272,0.2
2009,1,2002G098,B반변천7,Cymbella leptoceros,757,0.1
2009,1,2002G098,B반변천7,Cymbella silesiaca,1515,0.2
2009,1,2002G098,B반변천7,Denticula tenuis,757,0.1
2009,1,2002G098,B반변천7,Diatoma vulgaris,757,0.1
2009,1,2002G098,B반변천7,Encyonopsis leei,3786,0.4
2009,1,2002G098,B반변천7,Epithemia adnata,757,0.1
2009,1,2002G098,B반변천7,Fragilaria capucina,3029,0.3
2009,1,2002G098,B반변천7,Fragilaria capucina var. mesolepta,757,0.1
2009,1,2002G098,B반변천7,Fragilaria construens f. venter,3029,0.3
2009,1,2002G098,B반변천7,Fragilaria fragilarioides,757,0.1
