,AstSpp,Baujun,Bauten,Blecap,Brarep,Cardis,Cenuni,Cladonia,ClemSpp,Coprha,Coprob,Cortoi,Cyadea,Cyamed,Cyafra,Cyajun,Dianig,Dooaus,Erilus,EricaRed,Genrup,Ghalas,GhnaphaliumSpp,Glemic,Gonagg,Grass1,Grass2,Hkagib,Hakser,Hebstr,Hollan,Hyprad,Kniexc,Kuneri,Lepaus,Leplat,Lepsco,Leufas,Linlin,Lintri,Lycdeu,Lysnem,Metexc,Moraff,Myraus,Olefur,Oleran,Oplhir,Paesca,Photen,Pimare,Pinrad,PinusSpp,Pomkum,Pomphy,Pruvul,Psearb,Pseles,Pteesc,Ptecom,Rubcis,Schdic,Schmas,Schten,SenecioSpp,Tetcap,Uncunc,Weisil
1g1,0,0,2,2,2,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1g2,0,0.2,0.2,1,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1g3,0,0,0,2,1,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1g4,0,1,1,1,2,0,0,0,0,1,2,0,2,3,0,0,0,0,0,0,3,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1g5,0,3,0,1,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1g6,0,1,0,1,0.2,0,0,0,0,1,0,2,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
1g7,0,2,3,2,1,0,0,0,0,0.2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
1g8,0,3,0,1,0,0,0,0,0,0.2,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1g9,0,2,1,1,0.2,0,0,0,0,0.2,2,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
1g10,0,2,0,1,1,0.2,0,0,0,0.2,1,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
