Site,Nematomorpha,proboscis worm,Barbronia,Alboglossiphonia,Helobdella,Branchiura,Oligio,Arachnid,Styloniscus,Copepoda,Acari,Cladocera,Subclass: Collembola,Elmidae (lavae),Hydrophilid (adult),Hydrophilid (larvae),Ptilodactylidae ,sub fam: Chironominae,subfam: Orthocladiinae,Subfam: Tanypodinae ,Culex ,Paradixae,Ephydridae,Limonia,Paralimnophila,tribe: Eriopterini,tribe: Hexatomini,Muscidae,Psychodidae,Austrosimulium,Tabanidae,Mischoderus,Zelandotipula,Coloburiscus,Zephlebia,Deleatidium,Mauiulus,Neozephlebia,Austroclima,Sigara,Mesoveliidae,Anisops,Microvelia,Archichauliodes,Xanthocnemis,Procordulia,Antipodochlora,Austrolestes ,megaleptoperla ,Psilochorema,pycnocentria,Pycnocentrodes,Ecnomina,Edpercivalia,Hydrochorema  ,Hydrobiosis,Neurochorema,Aoteapsyche,Orthopsyche,Ecnomina,oxyethira,Paroxyethira,Hydroptilidae,Hudsonema,Oecetis,Triplectides,Oeconesidae,Plectrocnemia,Polyplectropus,Amphipods,Parenehrops ,Ostracoda,Sphaeriidae,Lymnaea,Pseudosuccinea,Physa,Ferrissia,Glyptophysa,Gyraulus,Latia,Potamopyrgus,Dalyellidae,Cura,Austrostes ,CulexPupa,Terestrial
F01,0,0,0,2,0,3,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,0,0,0,0,0,0,1510,0,74,123,0,0,57,10,0,0,0,8000,0,90,0,0,6
F02,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,27,0,0,0,6,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0,825,0,0,6,0,0,7,2,0,0,0,2784,0,15,0,0,0
F03,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,6,91,0,1,0,0,921,0,2,0,1,2
F04,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,101,0,5,0,0,1
F05,0,3,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,279,0,114,1,0,0,44,0,0,0,0,152,0,2,0,1,6
F06,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,97,0,2,0,0,0
F07,0,0,0,1,0,0,166,0,0,0,0,0,0,0,1,0,0,2,0,6,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,1,13,2,0,7,0,54,0,1,0,6,0
F08,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,10,0,0,8,1,1,0,0,109,0,0,0,0,0
F09,0,1,0,0,0,0,32,0,0,0,0,0,0,486,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,11,0,0,0,0,120,0,0,0,0,9,1,0,0,12,1,0,0,0,1,0,0,24,0,0,0,7,1,9,0,0,0,0,0,6,1,32,0,0,0,23,0,8,1,0,0,0,12,0,0,8,370,0,4,0,0,1
F10,0,1,0,1,0,0,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,11,10,0,0,24,0,0,0,0,137,0,24,0,0,4
