,Species,Syn,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
,Achnanthidium atomus,Achnanthes atomus,,,,,,,1,,1,,,,,,
Y,Achnanthes biasolettiana,,2,2,,1,1,,,,,,,,,,
Y,Achnanthes biasolettiana var. subatomus,,2,7,1,5,3,,,,,,,,,,
,Achnanthes conspicua,,,,,1,1,,,4,1,7,,,1,,
Y,Achnanthes convergens,,38,23,9,40,35,,,,,,1,,,,
,Achnanthes crassa,,,,,,,,,,,,,,,,
Y,Achnanthes daui,,,,,,,,,,2,2,,,,,
Y,Achnanthes delicatula,Achnanthes septentrionalis,,,,,,1,1,3,5,16,1,2,2,,
Y,Achnanthes exigua,,,1,1,,,98,7,100,24,208,,3,5,6,3
,Achnanthes exigua var. elliptica,,,,,,,5,1,2,2,7,,,,,
Y,Achnanthes japonica,,13,5,5,10,9,,,1,,,1,1,,,
Y,Achnanthes lanceolata,,7,4,11,7,6,4,3,6,10,57,1,3,2,6,3
Y,Achnanthes lanceolata subsp. Frequentissima var. magna,,6,,8,4,,,2,,3,1,,,,,
Y,Achnanthes lanceolata subsp. Frequentissima var. minor,,8,1,5,6,7,6,1,2,8,27,2,4,1,4,3
Y,Achnanthes lanceolata var. rostrata,,2,2,4,6,4,,2,2,,2,,,1,,
Y,Achnanthes laterostrata,,1,,,1,,,,,,,,,,,
Y,Achnanthes minutissima,,59,37,17,40,44,,3,1,8,3,5,2,2,3,2
Y,Achnanthes minutissima var. jackii,,13,5,1,15,9,1,,,2,,1,,1,,
Y,Achnanthes minutissima var. robusta,,18,11,8,16,9,,,,,,1,1,,,1
Y,Achnanthes minutissima var. saprophila,,52,27,5,31,23,,1,1,2,2,,,,,
Y,Achnanthes subhudsonis,,21,11,3,10,3,1,,,,1,,,,,
Y,Achnanthes alteragracillima,Achnanthidium alteragraciliium,,,,,1,,,,,,,,,,
Y,Achnanthidium latecephalum,,20,27,13,35,41,,,,,,,,,,
Y,Amphora copulata,,,1,,,,1,2,,,,,4,2,,2
Y,Amphora inariensis,,,,,,1,19,8,15,12,19,,,1,3,
Y,Amphora pediculus,,14,24,42,61,60,2,5,11,7,21,2,,4,,1
Y,Asterionella formosa,,4,,1,,3,6,8,2,7,6,24,22,9,16,3
Y,Aulacoseira alpigena,,7,4,2,,,17,17,11,9,,137,118,122,152,134
Y,Aulacoseira ambigua,,7,5,12,4,8,18,17,3,10,3,110,101,96,191,179
Y,Aulacoseira granulata,,4,7,5,4,8,3,4,3,7,1,39,33,30,47,19
Y,Aulacoseira islandica,,,,,,,,,,,,,,,,
Y,Aulacoseira muzzanensis,,,,,,,,,6,,3,4,2,,5,2
Y,Aulacoseira subarctica,,,,,,,,,,,,20,14,8,18,17
Y,Aulacoseira valida,,,,,,,,,,,,3,,2,2,
Y,Bacillaria paxillifera,,,2,,,,1,6,2,4,3,5,6,9,9,7
Y,Caloneis bacillum,,,,,,,2,10,9,1,3,,,,1,2
Y,Caloneis silicula,,,,,,,,1,,,,,,,,
Y,Cocconeis pediculus,,4,3,1,4,11,,,,2,,1,2,1,,
Y,Cocconeis placentula,,8,3,12,4,3,1,,,7,,,,1,,
Y,Cocconeis placentula var. euglypta,,19,6,28,13,44,3,4,2,15,2,,1,2,2,1
Y,Cocconeis placentula var. lineata,,16,6,10,4,6,,,,,,,,,,
