Species,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
Achnanthes alteragracillima,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Achnanthes atomus,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Achnanthes biasolettiana,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
Achnanthes catenata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes clevei,0,4,3,2,2,1,0,3,0,15,0,1,2,0,0
Achnanthes conspicua,0,0,0,1,1,0,0,4,1,7,0,0,1,0,0
Achnanthes convergens,38,23,9,40,35,0,0,0,0,0,1,0,0,0,0
Achnanthes crassa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes daui,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Achnanthes delicatula,0,0,0,0,0,1,1,3,5,16,1,2,2,0,0
Achnanthes exigua,0,1,1,0,0,98,7,100,24,208,0,3,5,6,3
Achnanthes exigua var. elliptica,0,0,0,0,0,5,1,2,2,7,0,0,0,0,0
Achnanthes grana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes hungarica,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Achnanthes japonica,13,5,5,10,9,0,0,1,0,0,1,1,0,0,0
Achnanthes lanceolata,7,4,11,7,6,4,3,6,10,57,1,3,2,6,3
Achnanthes lanceolata ssp. rostrata,2,2,4,6,4,0,2,2,0,2,0,0,1,0,0
Achnanthes lanceolata subsp. frequentissima,14,1,13,10,7,6,3,2,11,28,2,4,1,4,3
Achnanthes laterostrata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes microcephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,59,37,17,40,44,0,3,1,8,3,5,2,2,3,2
Achnanthes minutissima var. jackii,13,5,1,15,9,1,0,0,2,0,1,0,1,0,0
Achnanthes minutissima var. saprophila,52,27,5,31,23,0,1,1,2,2,0,0,0,0,0
Achnanthes minutissima var.robust,18,11,8,16,9,0,0,0,0,0,1,1,0,0,1
Achnanthes subatomoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes subhudsonis,21,11,3,10,3,1,0,0,0,1,0,0,0,0,0
Achnanthidium latecephalum,20,27,13,35,41,0,0,0,0,0,0,0,0,0,0
Achnanthidium subatomus,2,7,1,5,3,0,0,0,0,0,0,0,0,0,0
Amphora copulata,0,1,0,0,0,1,2,0,0,0,0,4,2,0,2
Amphora inariensis,0,0,0,0,1,19,8,15,12,19,0,0,1,3,0
Amphora montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
