River.Type,River.Name,New.Code.Name,Old.Code.Name,Loaction.Name,Lat,Lon,WQ.L.Name,WQ.L.Code,Bio.L.Name,Bio.L.Code,Fieldwork.Data,Water.Data,Bio.Data,Sector,Etc
M,ND,M1,M1,Young-rak gyo Bridge ,36.580385,128.764309,안동1,2001A60,B낙동강6,2001G090,Y,Y,Y,U,
T,BB,T1,T1,Yongjeong gyo Bridge ,36.551131,128.751342,반변천2-1,2002A50,B반변천7,2002G098,Y,Y,Y,U,
M,ND,M2,M2,Danho gyo Bridge,36.552348,128.595480,안동3,2003A30,B낙동강8,2003G051,Y,Y,Y,U,
M,ND,M3,M3,Samgang-ri ,36.564777,128.297678,예천-1,2003A60,B낙동강10,2003G078,Y,Y,Y,U,
T,NS,T2,T2,Seong-jeo gyo Bridge ,36.589986,128.305569,내성천3-1,2004A90,B내성천7,2004G068,Y,Y,Y,U,
T,YG,T3a,T3,Youngsoon gyo Bridge,36.591133,128.214847,영강1,2005A10,B영강4,2005G039,Y,Y,Y,U,
T,YG,T3b,T4,Maleung-ri ,36.533600,128.261609,영강2-1,2005A30,B영강6,2005G066,Y,Y,Y,U,
Weir,ND,W1,W1SJ,Sangju Bo,36.433308,128.249346,상주보,,,,,,,,
T,BS,T4,T5,Sangju,36.434352,128.235276,병성천-1,2006A20,B병성천3,2006G050,Y,Y,Y,S1,
M,ND,M4,M4,Jung-dong gyo Bridge ,36.401977,128.304657,상주2,2007A30,B낙동강16,2007G070,Y,Y,Y,S1,
T,WE,T5a,T6,Danmil gyo Bridge,36.378320,128.390359,위천2,2008A30,B위천8,2008G062,Y,Y,Y,S1,
T,WE,T5b,T7,Woo-mul gyo Bridge ,36.405566,128.329522,위천6,2008A40,B위천9,2008G064,Y,Y,Y,S1,
Weir,ND,W2,W2ND,Nakdan Bo,36.360198,128.305734,낙단보,,,,,,,,
M,ND,M5,M5,Nakdan daegyo Bridge ,36.354388,128.294915,상주3,2009A10,B낙동강18,2009G020,Y,Y,Y,S2,
M,ND,M6,M6,Ilseon gyo Bridge ,36.273069,128.342929,산곡,2009A20,B낙동강20,2009G050,Y,Y,Y,S2,
Weir,ND,W3,W3GM,Gumi Bo,36.236850,128.345678,구미보,,,,,,,,
T,GM,T6a,T8,Gampo gyo Bridge,36.188625,128.229094,감천1A,2010A15,B감천B4,2010G027,Y,Y,Y,S3,조사지점보다 11.7 km 상류(김천교)
T,GM,T6b,T9,Namsan gyo Bridge ,36.225279,128.335924,감천2-1,2010A30,B감천B5,2010G060,Y,Y,Y,S3,
M,ND,M7,,Nakdonggang gyo Bridge,36.069958,128.387031,구미,2011A20,B낙동강22,2011G039,N,Y,Y,S3,
Weir,ND,W4,W4CG,Chilgok Bo,36.015612,128.397893,칠곡보,,,,,,,,
M,ND,M8,M7,Woegwan gyo Bridge ,36.001264,128.394037,왜관,2011A30,B낙동강24,2011G054,Y,Y,Y,S4,
Weir,ND,W5,W5KG,Kangjung Goryung Bo,35.840325,128.460570,강정고령보,,,,,,,,
M,ND,M9,M8,Gangjung-Goryung bo Barrage,35.839190,128.462417,달성,2011A60,B낙동강26,2011G087,Y,Y,Y,S5,
T,KH,T7a,T10,Paldal gyo Bridge,35.895418,128.550758,금호강5,2012A60,B금호강6,2012G118,Y,Y,Y,S5,
T,KH,T7b,T11,Gangchang gyo Bridge ,35.853067,128.471937,금호강6,2012A70,B금호강7,2012G126,Y,Y,Y,S5,
M,ND,M10,M9,Goryung gyo Bridge ,35.753365,128.387692,고령,2014A20,B낙동강29,2014G045,Y,Y,Y,S5,
Weir,ND,W6,W6DS,Dalseong Bo,35.734040,128.416634,달성보,,,,,,,,
M,ND,M11,,Bakseokjin gyo Bridge,35.708204,128.434345,현풍,2014A30,B낙동강30,2014G050,N,Y,Y,S6,
M,ND,M12,M10,Woogok gyo Bridge ,35.622408,128.391562,대암-1,2014A50,B낙동강32,2014G080,Y,Y,Y,S6,
T,HO,T8a,T12,Dojin gyo Bridge,35.678794,128.337615,회천2,2013A30,B회천2,2013G060,Y,Y,Y,S6,
T,HO,T8b,,Hoecheon,35.615018,128.364784,회천2-1,2013A40,B회천3,2013G063,N,Y,Y,S6,
Weir,ND,W7,W7HC,Hapcheon Changnyeong Bo,35.590751,128.355934,합천창녕보,,,,,,,,
T,HG,T9a,,Hwanggang gyo Bridge,35.572036,128.292508,황강3,2016A20,B황강9,2016G080,N,Y,Y,S7,
T,HG,T9b,T13,Chungduk gyo Bridge ,35.572103,128.341837,황강5,2016A30,B황강10,2016G095,Y,Y,Y,S7,
M,ND,M13,M11,Bakjin gyo Bridge ,35.440104,128.378425,용산,2017A60,B낙동강36,2017G075,Y,Y,Y,S7,
T,NG,T10a,T14,Jangbak gyo Bridge,35.256161,128.272233,남강2A,2019A35,B남강12,2019G074,Y,Y,Y,S7,조사지점보다 7.9 km하류(정암철교)
T,NG,T10b,T15,Nam gang river ,35.391206,128.432219,남강4-1,2019A80,B남강13,2019G116,N,Y,Y,S7,
M,ND,M14,M12,Namji gyo Bridge ,35.380826,128.473723,남지,2020A10,B낙동강37,2020G002,Y,Y,Y,S7,
Weir,ND,W8,W8CH,Changnyeong Haman Bo,35.379974,128.551947,창녕함안보,,,,,,,,
T,MR,T11a,T16,Yelim gyo Bridge,35.471011,128.763881,밀양강2,2021A50,B밀양강2,2021G078,Y,Y,Y,D,
T,MR,T11b,T17,Samsang gyo Bridge ,35.411624,128.794059,밀양강3,2021A60,B밀양강3,2021G082,Y,Y,Y,D,
M,ND,M15,M13,Samrangjin gyo Bridge ,35.382701,128.828872,삼랑진,2020A60,B낙동강42,2020G090,Y,Y,Y,D,
